trajectory_id,label,scenario,split
SCTD-0001,0,normal_tourist_movement,test
SCTD-0002,0,normal_tourist_movement,train
SCTD-0003,0,normal_tourist_movement,test
SCTD-0004,0,normal_tourist_movement,train
SCTD-0005,0,normal_tourist_movement,test
SCTD-0006,0,normal_tourist_movement,validation
SCTD-0007,0,normal_tourist_movement,train
SCTD-0008,0,normal_tourist_movement,train
SCTD-0009,0,normal_tourist_movement,test
SCTD-0010,0,normal_tourist_movement,train
SCTD-0011,0,normal_tourist_movement,train
SCTD-0012,0,normal_tourist_movement,validation
SCTD-0013,0,normal_tourist_movement,train
SCTD-0014,0,normal_tourist_movement,test
SCTD-0015,0,normal_tourist_movement,train
SCTD-0016,0,normal_tourist_movement,train
SCTD-0017,0,normal_tourist_movement,train
SCTD-0018,0,normal_tourist_movement,train
SCTD-0019,0,normal_tourist_movement,test
SCTD-0020,0,normal_tourist_movement,test
SCTD-0021,0,normal_tourist_movement,train
SCTD-0022,0,normal_tourist_movement,test
SCTD-0023,0,normal_tourist_movement,train
SCTD-0024,0,normal_tourist_movement,test
SCTD-0025,0,normal_tourist_movement,test
SCTD-0026,0,normal_tourist_movement,validation
SCTD-0027,0,normal_tourist_movement,test
SCTD-0028,0,normal_tourist_movement,validation
SCTD-0029,0,normal_tourist_movement,train
SCTD-0030,0,normal_tourist_movement,train
SCTD-0031,0,normal_tourist_movement,train
SCTD-0032,0,normal_tourist_movement,train
SCTD-0033,0,normal_tourist_movement,train
SCTD-0034,0,normal_tourist_movement,test
SCTD-0035,0,normal_tourist_movement,test
SCTD-0036,0,normal_tourist_movement,train
SCTD-0037,0,normal_tourist_movement,train
SCTD-0038,0,normal_tourist_movement,train
SCTD-0039,0,normal_tourist_movement,train
SCTD-0040,0,normal_tourist_movement,train
SCTD-0041,0,normal_tourist_movement,validation
SCTD-0042,0,normal_tourist_movement,train
SCTD-0043,0,normal_tourist_movement,train
SCTD-0044,0,normal_tourist_movement,train
SCTD-0045,0,normal_tourist_movement,validation
SCTD-0046,0,normal_tourist_movement,train
SCTD-0047,0,normal_tourist_movement,train
SCTD-0048,0,normal_tourist_movement,train
SCTD-0049,0,normal_tourist_movement,train
SCTD-0050,0,normal_tourist_movement,train
SCTD-0051,0,normal_tourist_movement,test
SCTD-0052,0,normal_tourist_movement,test
SCTD-0053,0,normal_tourist_movement,train
SCTD-0054,0,normal_tourist_movement,test
SCTD-0055,0,normal_tourist_movement,train
SCTD-0056,0,normal_tourist_movement,train
SCTD-0057,0,normal_tourist_movement,validation
SCTD-0058,0,normal_tourist_movement,validation
SCTD-0059,0,normal_tourist_movement,train
SCTD-0060,0,normal_tourist_movement,test
SCTD-0061,0,normal_tourist_movement,validation
SCTD-0062,0,normal_tourist_movement,test
SCTD-0063,0,normal_tourist_movement,test
SCTD-0064,0,normal_tourist_movement,test
SCTD-0065,0,normal_tourist_movement,test
SCTD-0066,0,normal_tourist_movement,train
SCTD-0067,0,normal_tourist_movement,train
SCTD-0068,0,normal_tourist_movement,validation
SCTD-0069,0,normal_tourist_movement,validation
SCTD-0070,0,normal_tourist_movement,test
SCTD-0071,0,normal_tourist_movement,test
SCTD-0072,0,normal_tourist_movement,train
SCTD-0073,0,normal_tourist_movement,train
SCTD-0074,0,normal_tourist_movement,train
SCTD-0075,0,normal_tourist_movement,validation
SCTD-0076,0,normal_tourist_movement,train
SCTD-0077,0,normal_tourist_movement,validation
SCTD-0078,0,normal_tourist_movement,train
SCTD-0079,0,normal_tourist_movement,train
SCTD-0080,0,normal_tourist_movement,train
SCTD-0081,0,normal_tourist_movement,train
SCTD-0082,0,normal_tourist_movement,validation
SCTD-0083,0,normal_tourist_movement,test
SCTD-0084,0,normal_tourist_movement,validation
SCTD-0085,0,normal_tourist_movement,train
SCTD-0086,0,normal_tourist_movement,train
SCTD-0087,0,normal_tourist_movement,train
SCTD-0088,0,normal_tourist_movement,test
SCTD-0089,0,normal_tourist_movement,test
SCTD-0090,0,normal_tourist_movement,train
SCTD-0091,0,normal_tourist_movement,train
SCTD-0092,0,normal_tourist_movement,train
SCTD-0093,0,normal_tourist_movement,test
SCTD-0094,0,normal_tourist_movement,train
SCTD-0095,0,normal_tourist_movement,test
SCTD-0096,0,normal_tourist_movement,train
SCTD-0097,0,normal_tourist_movement,test
SCTD-0098,0,normal_tourist_movement,train
SCTD-0099,0,normal_tourist_movement,train
SCTD-0100,0,normal_tourist_movement,train
SCTD-0101,0,normal_tourist_movement,validation
SCTD-0102,0,normal_tourist_movement,test
SCTD-0103,0,normal_tourist_movement,train
SCTD-0104,0,normal_tourist_movement,train
SCTD-0105,0,normal_tourist_movement,validation
SCTD-0106,0,normal_tourist_movement,train
SCTD-0107,0,normal_tourist_movement,train
SCTD-0108,0,normal_tourist_movement,train
SCTD-0109,0,normal_tourist_movement,test
SCTD-0110,0,normal_tourist_movement,test
SCTD-0111,0,normal_tourist_movement,train
SCTD-0112,0,normal_tourist_movement,test
SCTD-0113,0,normal_tourist_movement,train
SCTD-0114,0,normal_tourist_movement,train
SCTD-0115,0,normal_tourist_movement,train
SCTD-0116,0,normal_tourist_movement,test
SCTD-0117,0,normal_tourist_movement,test
SCTD-0118,0,normal_tourist_movement,validation
SCTD-0119,0,normal_tourist_movement,train
SCTD-0120,0,normal_tourist_movement,test
SCTD-0121,0,normal_tourist_movement,train
SCTD-0122,0,normal_tourist_movement,test
SCTD-0123,0,normal_tourist_movement,train
SCTD-0124,0,normal_tourist_movement,train
SCTD-0125,0,normal_tourist_movement,train
SCTD-0126,0,normal_tourist_movement,train
SCTD-0127,0,normal_tourist_movement,validation
SCTD-0128,0,normal_tourist_movement,train
SCTD-0129,0,normal_tourist_movement,test
SCTD-0130,0,normal_tourist_movement,train
SCTD-0131,0,normal_tourist_movement,test
SCTD-0132,0,normal_tourist_movement,test
SCTD-0133,0,normal_tourist_movement,train
SCTD-0134,0,normal_tourist_movement,train
SCTD-0135,0,normal_tourist_movement,test
SCTD-0136,0,normal_tourist_movement,train
SCTD-0137,0,normal_tourist_movement,train
SCTD-0138,0,normal_tourist_movement,train
SCTD-0139,0,normal_tourist_movement,train
SCTD-0140,0,normal_tourist_movement,train
SCTD-0141,0,normal_tourist_movement,train
SCTD-0142,0,normal_tourist_movement,train
SCTD-0143,0,normal_tourist_movement,train
SCTD-0144,0,normal_tourist_movement,train
SCTD-0145,0,normal_tourist_movement,validation
SCTD-0146,0,normal_tourist_movement,validation
SCTD-0147,0,normal_tourist_movement,train
SCTD-0148,0,normal_tourist_movement,train
SCTD-0149,0,normal_tourist_movement,train
SCTD-0150,0,normal_tourist_movement,test
SCTD-0151,1,high_speed_abnormal_movement,train
SCTD-0152,1,high_speed_abnormal_movement,validation
SCTD-0153,1,high_speed_abnormal_movement,train
SCTD-0154,1,high_speed_abnormal_movement,test
SCTD-0155,1,high_speed_abnormal_movement,validation
SCTD-0156,1,high_speed_abnormal_movement,test
SCTD-0157,1,high_speed_abnormal_movement,test
SCTD-0158,1,high_speed_abnormal_movement,train
SCTD-0159,1,high_speed_abnormal_movement,train
SCTD-0160,1,high_speed_abnormal_movement,train
SCTD-0161,1,high_speed_abnormal_movement,test
SCTD-0162,1,high_speed_abnormal_movement,train
SCTD-0163,1,high_speed_abnormal_movement,validation
SCTD-0164,1,high_speed_abnormal_movement,train
SCTD-0165,1,high_speed_abnormal_movement,train
SCTD-0166,1,high_speed_abnormal_movement,train
SCTD-0167,1,high_speed_abnormal_movement,validation
SCTD-0168,1,high_speed_abnormal_movement,test
SCTD-0169,1,high_speed_abnormal_movement,train
SCTD-0170,1,high_speed_abnormal_movement,validation
SCTD-0171,1,large_route_deviation,train
SCTD-0172,1,large_route_deviation,test
SCTD-0173,1,large_route_deviation,train
SCTD-0174,1,large_route_deviation,train
SCTD-0175,1,large_route_deviation,train
SCTD-0176,1,large_route_deviation,test
SCTD-0177,1,large_route_deviation,train
SCTD-0178,1,large_route_deviation,train
SCTD-0179,1,large_route_deviation,train
SCTD-0180,1,large_route_deviation,train
SCTD-0181,1,large_route_deviation,train
SCTD-0182,1,large_route_deviation,train
SCTD-0183,1,large_route_deviation,train
SCTD-0184,1,large_route_deviation,test
SCTD-0185,1,large_route_deviation,train
SCTD-0186,1,large_route_deviation,train
